authid;authtypecode;main_heading;alt_heading;uri
7254;PERSO_NAME;"Löwe, Carl 1796-1869";"Loewe, Carl von |Loewe, Gottfried |Loewe, Johann Carl Gottfried |Loewe, Johann Karl Gottfried ";http://www.wikidata.org/entity/Q158899
7255;PERSO_NAME;"Gaerrich, W.";;
7256;PERSO_NAME;"Seyler und Hoffmann";;
7257;PERSO_NAME;"Allegri, Gregorio 1582-1652";Allegri,;http://www.wikidata.org/entity/Q216695
7259;PERSO_NAME;"Morales, Cristóbal de c. 1500-1553";"De Morales, Cristóbal|Morales, Christóbal de|Morales, Cristóbal|Morales, Cristóbal|Morales, Cristóbal de,";http://www.wikidata.org/entity/Q360184
7260;PERSO_NAME;"Festa, Costanzo 1490-1545";;http://www.wikidata.org/entity/Q937584
7261;PERSO_NAME;"Jannacconi, Giuseppe";;http://www.wikidata.org/entity/Q3502625
7262;PERSO_NAME;"Pitoni, Giuseppe Ottavio 1657-1743";;http://www.wikidata.org/entity/Q1528547
7263;PERSO_NAME;"Anerio, Giovanni Francesco 1567-1630";"Anerio, Francesco|Anerio, Gio. Francesco|Anerio, Giovanni Francesco|Anerio, Giovanni Francesco,";http://www.wikidata.org/entity/Q711181
7264;PERSO_NAME;"Gallus, Jacobus 1550-1591";"Gallus Carniolus, Jacobus |Gallus, Iacobus |Gallus, Jakobus |Handl, Jacob |Handl, Jakob ";http://www.wikidata.org/entity/Q439813
7265;PERSO_NAME;"Calvisius, Seth 1556-1615";"Calvisius, Sethus|Calvisio, Setho |Kallwitz, Seth|Kalwitz, Seth";http://www.wikidata.org/entity/Q65356
7268;PERSO_NAME;"Rockstroh, Johann fl. 1725";;
7270;PERSO_NAME;"Berton, Pierre Montan 1727-1780";;http://www.wikidata.org/entity/Q178336
7271;PERSO_NAME;"Trial, Jean Claude 1732-1771";;http://www.wikidata.org/entity/Q453100
7272;PERSO_NAME;"Printz, Wolfgang Caspar 1641-1717";"Printz von Waldthurn, Wolfgang Caspar|Printz, Wolffgang Caspar|Von Waldthurn, Wolfgang Caspar Printz|Waldthurn, Wolfgang Caspar Printz von";http://www.wikidata.org/entity/Q104997
7273;PERSO_NAME;"Hartung, Philipp Christoph  1706-1776";"Hartong, Philipp Christoph|Hartung, Philipp C.|Humano, P. C.|Humanus, P. C.";
7274;PERSO_NAME;"Sorge, Georg Andreas 1703-1778";;http://www.wikidata.org/entity/Q88592
7275;PERSO_NAME;"Zumbach von Coesfeld, Coenraad 1697-1780";"Coesfeld, Konrad Zumbach von |Coesveld, Coenraad Sumbach|Coesveld, Conradus Zumbach de|Koesfelt, Coenraad Zumbag van|Koesveld, Conradus Zumbach de|Zumbach von Coesfeld, Konrad";
7276;PERSO_NAME;"Eberhard, Ludwig 1676-1733";"Eberhard, Louis, Duke of Württemberg|Eberhard, Ludwig|Herzog von Württemberg";http://www.wikidata.org/entity/Q61169
7277;PERSO_NAME;"Neumeister, Erdmann 1671-1756";"נוימייסטר, ערדמאן";http://www.wikidata.org/entity/Q67938
7278;PERSO_NAME;"Imhof, Andreas Lazarus von";;http://www.wikidata.org/entity/Q55130968
7279;PERSO_NAME;"Schönleben, Conrad";;http://www.wikidata.org/entity/Q113781489
7281;PERSO_NAME;"Voigt, Johann Carl";;
7282;PERSO_NAME;"Götze, Johann Melchior 1658-1727";"Boez, Johan Melchior|Bötz, Johann Melchior|Bötze, Johann Melchior|Goetze, Johann Melchoir|Goetzen, Johan Melchior|Goeze, Johann Melchior|Goezius, Johannes Melchior";
7283;PERSO_NAME;"Japiks, Gysbert";"Gysbert japikse|Japicx, Gysbert|Japix";http://www.wikidata.org/entity/Q562144
7284;PERSO_NAME;"Gabbema, Simon Abbes 1628-1688";"Gabbema, Simone Abbes";http://www.wikidata.org/entity/Q18093471
7285;PERSO_NAME;"Severus, Sulpicius";"Severo, Sulpicio|Severus, Sulpitius|Sévère, Sulpice";http://www.wikidata.org/entity/Q336704
7286;PERSO_NAME;"Horn, Georg 1620-1670";"Hornius, Georgius|Horn, George";http://www.wikidata.org/entity/Q1509497
7287;PERSO_NAME;"Wallis, A. S. C. 1856-1925";"Antal-Opzoomer, Adèle Sophia Cornelia von|Opzoomer, Adèle Sophia Cornelia|Opzoomer, Adèle Sophia Cornelia von Antal-|Von Antal-Opzoomer, Adèle Sophia Cornelia|Antal-Opzoomer, Adèle Sophia Cornelia von";http://www.wikidata.org/entity/Q23008817
7288;PERSO_NAME;"Martin, Gabriel 1679-1761";"Martin, G.";http://www.wikidata.org/entity/Q84550368
7289;PERSO_NAME;"Friedrich II. 1712-1786";"Frédéric II de Prusse|Frederick II of Prussia|Frederick the Great|Frederik de Grote|Friedrich der Grosse|Frederik II van Pruisen|Friedrich II. von Preußen";http://www.wikidata.org/entity/Q33550
7290;PERSO_NAME;"Denina, Carlo 1731-1813";"Denina, Carlo Giovanni Maria ";http://www.wikidata.org/entity/Q556342
7291;PERSO_NAME;"Birnbaum, Johann Abraham 1702-1748";"Aufrichtiger Patriot|Birnbaum, Joannes Abraham|Birnbaum, Jo. Abrah.|Birnbaum, Ioannes Abraham|Birnbaum, Io. Abrah.|Birnbavm, Ioannes Abraham|J. A. B.|B., J. A.";http://www.wikidata.org/entity/Q60845257
7292;PERSO_NAME;"Wietzel, Lurainz 1627-1670";;http://www.wikidata.org/entity/Q21516599
7293;PERSO_NAME;"Rascher, Johann Battista";"Rascher, J. B.";
7294;PERSO_NAME;"Gonzenbach, Johann Jacob";;
7295;PERSO_NAME;"Gonzenbach, Bartholomeus";"Gonzenbach, Bartholomæus|Gonzenbach, Bartholomäus";
7297;PERSO_NAME;"Hientzsch, Johann Gottfried 1787-1856";"Hientsch, Johann Gottfried";http://www.wikidata.org/entity/Q29790849
7298;PERSO_NAME;"Uffenbach, Johann Friedrich Armand von 1687-1769";"Uffenbach, J. F. A. von|Von Uffenbach, Johann Friedrich Armand";http://www.wikidata.org/entity/Q3180542
7299;PERSO_NAME;"Harduyn, Justus de";"Harduwijn, Justus de ";http://www.wikidata.org/entity/Q742930
7300;PERSO_NAME;"Foncke, Robert";;http://www.wikidata.org/entity/Q42306854
7302;PERSO_NAME;"Lacombe, Jacques 1724-1811";;http://www.wikidata.org/entity/Q3159232
7303;PERSO_NAME;"Thurn, Carl 1808-1891";"Thurn, C.";
7304;PERSO_NAME;"Proost, P. Jzn.";"Proost, Pieter Janszoon|Proost, Dr. P. Jzn.";
7306;PERSO_NAME;"Gunnyon, William 1823-1891";;
7307;PERSO_NAME;"Eberhardt, Paul 1879-1923";;http://www.wikidata.org/entity/Q94761352
7308;PERSO_NAME;"Audiguier, Vital d'";;http://www.wikidata.org/entity/Q3561159
7309;PERSO_NAME;"Heermans, Jacob 1605-1663";"Heerman, Jacob|Heermans, J.";
7310;PERSO_NAME;"Ravesteyn, Johannes van";;
7311;PERSO_NAME;"Béthisy de Mézières, Eugène-Éléonor de";;http://www.wikidata.org/entity/Q110589578
7312;PERSO_NAME;"Gómez de Quevedo y Villegas, Francisco";;http://www.wikidata.org/entity/Q201315
7313;PERSO_NAME;"Misson, François Maximilien 1650-1722";"Misson, Francis Maximilien|Misson, Maximilian|Misson, Maximilien";http://www.wikidata.org/entity/Q345742
7314;PERSO_NAME;"Diamaer, Hendrik Frans 1685-1726";;http://www.wikidata.org/entity/Q56447320
7316;PERSO_NAME;"Crucius, Jacobus 1560-1625";"Croix, Jacques de la|La Croix, Jacques de";http://www.wikidata.org/entity/Q15429688
7317;PERSO_NAME;"Presson, Andreas";;http://www.wikidata.org/entity/Q52833424
7319;PERSO_NAME;"Harsdörffer, Georg Philipp 1607-1658";;http://www.wikidata.org/entity/Q66605
7320;PERSO_NAME;"Blumerel, Jean";;
7321;PERSO_NAME;"Bauer, Fridericus fl. 1810";;
7322;PERSO_NAME;"La Sablière, Antoine de Rambouillet de 1624-1679";;http://www.wikidata.org/entity/Q55876476
7323;PERSO_NAME;"Salutio, Bartolomeo da";;
7324;PERSO_NAME;"Ripa, Cesare c. 1555-1622";;http://www.wikidata.org/entity/Q721704
7325;PERSO_NAME;"Baudoin, Jean 1590?-1650";"Balduino, Giovanni |Balduinus, Johannes  |Baldvino, Giouanni|Bandole, Anthoine de|Bandole, Antoine de|Baudouin, Ioannes";
7326;PERSO_NAME;"Vreede, Pieter 1750-1837";;http://www.wikidata.org/entity/Q2032594
7327;PERSO_NAME;"Schelle, Pieter van 1749-1792";;http://www.wikidata.org/entity/Q64033064
7328;PERSO_NAME;"Pradon, Jacques 1632-1698";"Pradon, Nicolas ";http://www.wikidata.org/entity/Q3340704
7329;PERSO_NAME;"Vertot d'Aubœuf, René-Aubert Abbé 1655-1735";"Aubert de Vertot d'Aubeuf, René|Aubeuf, René Aubert de Vertot d'|D'Aubeuf, René Aubert de Vertot|De Vertot d'Aubeuf, René Aubert|L. D. V.|Vertot|Vertot d'Aubeuf, René Aubert de|Vertot, René Aubert de";http://www.wikidata.org/entity/Q1529470
7330;PERSO_NAME;"Zesen von, Philipp Filip Zesien von Fürstenau";;http://www.wikidata.org/entity/Q76458
7331;PERSO_NAME;"Puget de La Serre, Jean 1594-1665";"De La Serre, Jean Puget|La Serre|La Serre, Jean Puget de|La Serre, P. de|La Serre, Puget de|P. S.|Puget de la Serre, Ioannes|Puget, J.|S., P.|Serre";http://www.wikidata.org/entity/Q3174141
7332;PERSO_NAME;"Swift, Jonathan 1667-1745";"Bickerstaff, Isaac |Drapier, M. B. |Gulliver, Lemuel |Wagstaff, Simon ";http://www.wikidata.org/entity/Q41166
7333;PERSO_NAME;"Desprez de Boissy, Charles c. 1730-1787";"Boissy, Charles Desprez de|De Boissy, Charles Desprez|Des P. de B|Desp. de B|Desprez de Boissy, Ch.|Desprez de Boissy, Charles,";http://www.wikidata.org/entity/Q62934112
7334;PERSO_NAME;"Dubos, Jean-Baptiste 1670-1742";"Abbé Dubos|Du Bos|Du Bos, Jean-Baptiste|Dubos, Abbé";http://www.wikidata.org/entity/Q432585
7335;PERSO_NAME;"Fuchs, F. C.";;
7336;PERSO_NAME;"Rössing, Johan Herman 1847-1918";;http://www.wikidata.org/entity/Q88774613
7337;PERSO_NAME;"Glazemaker, Jan Hendrik 1620-1682";"Glazemaker, Jan Hendriksz";http://www.wikidata.org/entity/Q2221565
7338;PERSO_NAME;"Scudéry, Madeleine de 1607-1701";"Scudéry, Mademoiselle de ";http://www.wikidata.org/entity/Q237095
7339;PERSO_NAME;"Scudéry, Georges de 1601-1667";;http://www.wikidata.org/entity/Q772240
7340;PERSO_NAME;"Zesen, Philipp von Zesien von Fürstenau";;
7341;PERSO_NAME;"Pomey, François-Antoine 1618-1673";"P. F. P.|Pomai, François-Antoine|Pomay, François-Antoine|Pomey, Fra.|Pomey, François|Pomey, Père François ";http://www.wikidata.org/entity/Q19279849
7342;PERSO_NAME;"Touche, J. de la";"Touche, Jacobus de la";
7343;PERSO_NAME;"Bertoux, Guillaume 1723-1810";"Bertoux, François Guillaume";http://www.wikidata.org/entity/Q55901179
7344;PERSO_NAME;"Monnet, Jean 1703-1785";;http://www.wikidata.org/entity/Q3173579
7345;PERSO_NAME;"Meusnier de Querlon";;
7346;PERSO_NAME;"Swieten, Gottfried van 1733-1803";"Swieten, Gottfried|Van Swieten, Gottfried";http://www.wikidata.org/entity/Q549419
7347;PERSO_NAME;"DuContant de La Molette, Philippe 1737-1793";"De La Molette, Philippe DuContant|La Molette, Philippe DuContant de|Molette, Philippe DuContant de La";http://www.wikidata.org/entity/Q7184920
7348;PERSO_NAME;"Maunde Thompson, Edward";;http://www.wikidata.org/entity/Q766458
7349;PERSO_NAME;"Pino, F. L.";;
7350;PERSO_NAME;"Wolfram, Johann Christian 1766-1828";;http://www.wikidata.org/entity/Q55836533
7351;PERSO_NAME;"Schermer, Lukas 1688-1711";;
7352;PERSO_NAME;"Langenheim, Johann Christian 1691-1764";;http://www.wikidata.org/entity/Q72937730
7353;PERSO_NAME;"Vogt, Johann 1695-1764";"Vogt, Johannes";http://www.wikidata.org/entity/Q1696487
7354;PERSO_NAME;"Weckerlin, Jean-Baptiste 1821-1910";"Weckerlin, Jean Baptiste Théodore|Weckerlin, J.-B.|Wekerlin, J.-B.|Wekerlin, Jean-Baptiste|Giroflée, Marc";http://www.wikidata.org/entity/Q934876
7355;PERSO_NAME;"Picander 1700-1764";"Henrici, C. F.|Henrici, Christian Friedrich";http://www.wikidata.org/entity/Q60613
7356;PERSO_NAME;"Wille, Alexander";;
7357;PERSO_NAME;"Fischhof, Joseph 1804-1857";;http://www.wikidata.org/entity/Q87673
7358;PERSO_NAME;"Werlhof, Paul Gottlieb 1699-1767";Werlhofius;http://www.wikidata.org/entity/Q87025
7359;PERSO_NAME;"Degni, Demetrio 1648-17xx";;http://www.wikidata.org/entity/Q61697023
7360;PERSO_NAME;"Puteanus, Erycius 1574-1646";"Dupuy, Henri|Put, Eerrijk de|Putte, Eerrijk de|Putte, Eerryk de";http://www.wikidata.org/entity/Q2791618
7361;PERSO_NAME;"Glyn, Margaret Henrietta 1865-1946";;
7362;PERSO_NAME;"Schulz, Johann Gottlob 1762-1810";;http://www.wikidata.org/entity/Q72938405
7363;PERSO_NAME;"His, Wilhelm 1831-1904";;http://www.wikidata.org/entity/Q115601
7364;PERSO_NAME;"Vloberg, Maurice 1885-1967";;http://www.wikidata.org/entity/Q59529459
7365;PERSO_NAME;"Langhans, Carl Gotthard 1732-1808";;http://www.wikidata.org/entity/Q313181
7366;PERSO_NAME;"Phillips, Thomas";;
7367;PERSO_NAME;"Benedictus XIV Prospero Lorenzo Lambertini";"Benedict X";
7368;PERSO_NAME;"Wälder, Johann Gualbert";;http://www.wikidata.org/entity/Q95252539
7369;PERSO_NAME;"Wagner, Friederich";;
7370;PERSO_NAME;"Hilten, Anthonie van  1586-1670";"Hilten, A. van ";
7371;PERSO_NAME;"Ten Bosch, Jacob Cornelis";;
7372;PERSO_NAME;"Finck, Johann Michael fl. 1722";"Finck, Joannes Michael";
7373;PERSO_NAME;"Willebrandt, Johann Peter 1719-1786";;http://www.wikidata.org/entity/Q1695816
7374;PERSO_NAME;"Cerone, Pietro 1566-1625";"Cerone, Domenico Pietro|Cerone, Pedro";http://www.wikidata.org/entity/Q1345131
7375;PERSO_NAME;"Bull, John 1562-1628";"Bol, Jan|Bonville, Jean|Boul, Jan|Bouville, Jean|Bul, Jan|Bull, Jan|Bull, Johan|Bull, Johann|Bull, John,";http://www.wikidata.org/entity/Q511463
7376;PERSO_NAME;"Richardson, Ferdinando 1558-1618";"Heaburn, Ferdinando|Heyborne, Ferdinando|Heyborne, Fernando|Richardson, Ferdinand";http://www.wikidata.org/entity/Q3068731
7377;PERSO_NAME;"Farnaby, Giles c. 1565-1640";"Farnaby, G.";http://www.wikidata.org/entity/Q1343764
7378;PERSO_NAME;"Mundy, John ?-1630";"Mondy, John|Moondaye, John|Munday, John|Mundie, John";http://www.wikidata.org/entity/Q3809503
7379;PERSO_NAME;"Philips, Peter 1561-1628";"Philippe, Pierre|Philippi, Peter|Philippi, Petri|Philippi, Pietro|Philipps, Peter|Phillipps, Peter|Phillips, Peter";http://www.wikidata.org/entity/Q1930460
7383;PERSO_NAME;"Murschhauser, Franz Xaver 1663-1738";;http://www.wikidata.org/entity/Q323113
7384;PERSO_NAME;"Corrette, Michel 1707-1795";"Corette, Michel|Corrette|Corrette, M.";http://www.wikidata.org/entity/Q982378
7385;PERSO_NAME;"Seidel, Christoph Timotheus";;http://www.wikidata.org/entity/Q1085999
7388;PERSO_NAME;"Abbadie, Jacques 1654-1727";"Abbadie, J.|Abbadie, James|J. A.|Abbadie, Jaques|Boher, Pierre|Abadie, J. G. d'|Abadie, Jacques";http://www.wikidata.org/entity/Q518333
7389;PERSO_NAME;"Moncrif, François Augustin Paradis de 1687-1770";"De Moncrif|Demoncrif|Moncrif, François-Augustin de|Moncrif, M. de|Paradis de Moncrif, Francois-Augustin|Moncrife|Moncriff, François-Augustin Paradis de|Demoncrif, François-Augustin Paradis|De Paradis de Moncrif, François-Augustin|Moncrif, Augustin-Paradis de";http://www.wikidata.org/entity/Q375270
7390;PERSO_NAME;"Hopkins, John 1520/1-1570";"Hopkins, Iohn";http://www.wikidata.org/entity/Q18671839
7391;PERSO_NAME;"Sternhold, Thomas 1500-1549";;http://www.wikidata.org/entity/Q2427466
7392;PERSO_NAME;"Freylinghausen, Johann Anastasius 1670-1739";;http://www.wikidata.org/entity/Q73193
7393;PERSO_NAME;"Harel, Charles Jean 1790-1846";"Harel, François-Antoine";http://www.wikidata.org/entity/Q2959450
7394;PERSO_NAME;"Alhoy, Maurice 1802-1856";"Alhoy, Philadelphe-Maurice";http://www.wikidata.org/entity/Q31200
7395;PERSO_NAME;"Jal, Auguste 1795-1873";"Jal, Augustin";http://www.wikidata.org/entity/Q2871240
7397;PERSO_NAME;"Walch, Johann Georg";;http://www.wikidata.org/entity/Q70352
7398;PERSO_NAME;"Schöttgen, Christian";;http://www.wikidata.org/entity/Q97707
7399;PERSO_NAME;"Rabener, Justus Gotthard";;http://www.wikidata.org/entity/Q1714516
7400;PERSO_NAME;"Whichello, Abiel";;http://www.wikidata.org/entity/Q18546503
7402;PERSO_NAME;"Sheeles, John";;http://www.wikidata.org/entity/Q116454798
7403;PERSO_NAME;"Rizzio, David";;
7404;PERSO_NAME;"Monro, George 1680-1731";;
7405;PERSO_NAME;"Dieupart, Charles 1667-1740";"Dieupart, Charles François|Dieupart, Francis";http://www.wikidata.org/entity/Q1064127
7406;PERSO_NAME;"Moore, James";;
7407;PERSO_NAME;"Fielding, Henry 1707-1754";"Scriblerus Secundus|Keyber, Conny|Drawcansir, Alexander|Trottplaid, John|Vinegar, Hercules|Filding, Henri|Gulliver, Lemuel|Gualterus, Petrus|Fielding, Enrique";http://www.wikidata.org/entity/Q34190
7408;PERSO_NAME;Mitchell;;
7410;PERSO_NAME;"Leveridge, Richard";;http://www.wikidata.org/entity/Q4256394
7412;PERSO_NAME;"Aldrich, Bedford";;
7413;PERSO_NAME;Bedingfield;;
7415;PERSO_NAME;"Trevers, John";;
7416;PERSO_NAME;"Anderson, John";;
7417;PERSO_NAME;Baker;;
7419;PERSO_NAME;"Arnet, Geo";;
7420;PERSO_NAME;"Chastellux, François Jean de 1734-1788";"Chastellux, Jean François|Chatellux|De Chastellux, François-Jean,";http://www.wikidata.org/entity/Q655181
7421;PERSO_NAME;"Oudshoff, W.";;
7422;PERSO_NAME;"Perk, Jacques 1859-1881";"Perk, Jacques Fabrice Herman";http://www.wikidata.org/entity/Q1622474
7423;PERSO_NAME;"Mithobius, Hektor 1600-1655";"Mithoff|Mithobius von Mithoffen, Hector";
7425;PERSO_NAME;"Desforges, Pierre-Jean-Baptiste Choudard dit 1746-1806";"Choudard Desforges, Pierre Jean Baptiste|Choudard, Pierre-Jean-Baptiste|Déforges|Desforges, Pierre Jean Baptiste Chouard|Desforges, Pierre-Jean-Baptiste";http://www.wikidata.org/entity/Q3024390
7426;PERSO_NAME;"Boskoop, Cornelis ?-1573";"Boscoop, Cornelis";http://www.wikidata.org/entity/Q328029
7428;PERSO_NAME;"Blanchard, Edme";;
7429;PERSO_NAME;"Fanzago, Francesco";;
7430;PERSO_NAME;"Blumenthal, George 1858-1941";;http://www.wikidata.org/entity/Q3760441
7431;PERSO_NAME;"Hennequin, M. M.-F.  J.";;
7432;PERSO_NAME;"Dornseiffen, I.";;
7433;PERSO_NAME;"Wasserman, Eugène von 1870-1925";;http://www.wikidata.org/entity/Q120691928
7434;PERSO_NAME;"Rappard, Frans Alexander van 1828-1888";"Rappard, Frans Alexander Lodewijk Ridder van|Rappard, Frans Alexander Lodewijk van";
7435;PERSO_NAME;"Lütge, Heinrich Andreas Johannes";"Lütge, H. A. J.";http://www.wikidata.org/entity/Q109938538
7436;PERSO_NAME;"Bogaerde de Heeswijk, van den 1787-1855";"Bogaerde van Terbrugge, Andreas van den |Bogaerde van Terbrugge, Andreas Johannes Ludovicus baron van den |Bogaerde de Heeswijk, Baron van den";http://www.wikidata.org/entity/Q2833202
7437;PERSO_NAME;"Six, Jan Pieter 1924-1899";"Six VI, Jan Pieter|J.P. Six van Hillegom |Jan Pieter Six van Hillegom|Jan Six VI";http://www.wikidata.org/entity/Q53919793
7438;PERSO_NAME;"Hardenberg, M. L. 1822-1900";"Hardenberg, Lambertus";http://www.wikidata.org/entity/Q2301250
7439;PERSO_NAME;"Lamme, Arie Johannes 1812-1900";"Lamme, Ary Johannes|Lamme, A. J.";http://www.wikidata.org/entity/Q18507872
7440;PERSO_NAME;"Thieullier, Jan fl. 17th century";"Thieullier, I.|Thieullier, J.|Thieullier, Jean‏|Thieullier, Joan|Thieullier, Johan‏|Thieullier, Johannes‏,";http://www.wikidata.org/entity/Q19664388
7442;PERSO_NAME;"Haas, Ildefons 1735-1791";;http://www.wikidata.org/entity/Q1658352
7443;PERSO_NAME;Schumm;;
7444;PERSO_NAME;"Wiszniewski, Kazimierz";;http://www.wikidata.org/entity/Q110083610
7445;PERSO_NAME;"Seyff, A. P. F. de";"De seyff, A. P. F.";
7447;PERSO_NAME;"Volbach, Fritz 1861-1940";;http://www.wikidata.org/entity/Q1468750
7448;PERSO_NAME;"Spataro, Giovanni 1458-1541";"Spatarius, Giovanni|Spadario, Giovanni";http://www.wikidata.org/entity/Q3768172
7450;PERSO_NAME;"Hirsch, Paul 1881-1951";"Hirsch, Paul Adolf ";http://www.wikidata.org/entity/Q2060211
7451;PERSO_NAME;"Lütkemann, Joachim 1608-1655";;http://www.wikidata.org/entity/Q100257
7453;PERSO_NAME;"Cautius, Theodor Christoph 1610-1679";;
7454;PERSO_NAME;"La Roque, Antoine de";;http://www.wikidata.org/entity/Q2856889
7455;PERSO_NAME;"Thibaut, Anton Friedrich Justus 1772-1840";;http://www.wikidata.org/entity/Q60865
7456;PERSO_NAME;"Du Castre, Jean Madame de Barneveldt 1712-1743";;http://www.wikidata.org/entity/Q3171822
7457;PERSO_NAME;"Slevogt, Gottlieb about 1694-1732";;
7458;PERSO_NAME;"Spieghel, Hendrik Laurensz 1549-1612";"Spiegel, Hendrik|Spiegel, Hendrik Laurensz. |Spiegel, Hendrik Laurenszoon|Spieghel, Hendrik Laurenszoon";http://www.wikidata.org/entity/Q262254
7459;PERSO_NAME;"Gottschling, Caspar";;http://www.wikidata.org/entity/Q21544794
7460;PERSO_NAME;"Mencke, Johann Burckhardt 1674-1732";"Mencke, Johann Burchard|Linde, Philander von der|Mencke, Johann Burkhard|Menckenius, Ioannes Burchardus|Menckenius, J. Burchardus|Menckenius, Joannes Burchardus|Menckenius, Johannes Burkhardius|Menkenio, J. B.";http://www.wikidata.org/entity/Q105229
7461;PERSO_NAME;"Buxtorf, Johannes 1564-1629";"Buxtorf der Ältere, Johann |Buxtorf I, Johannes|Buxtorf, Johann |Buxtorfius";http://www.wikidata.org/entity/Q71599
7462;PERSO_NAME;"Bertius, Petrus 1565-1629​";"Bert, Pierre|Bert, Pieter|Berthius, Pierre |Bertius, Pierre";http://www.wikidata.org/entity/Q2712134
7464;PERSO_NAME;"Weigel, Johann August Gottlob 1773-1846";"Weigel, Joh. Aug. Gottlob";http://www.wikidata.org/entity/Q55136709
7466;PERSO_NAME;"Cassiodorus, Flavius Magnus Aurelius";;http://www.wikidata.org/entity/Q192365
7467;PERSO_NAME;"Hervieux de Chanteloup, Jean-Claude";;http://www.wikidata.org/entity/Q87819316
7468;PERSO_NAME;"Fourquevaux, Jean-Baptiste de Baccarie de Pavie";;
7469;PERSO_NAME;"Schubart, Christian Friedrich Daniel 1739-1791";Schubart;http://www.wikidata.org/entity/Q61251
7470;PERSO_NAME;"Schubart, Ludwig Albrecht 1765-1811";;http://www.wikidata.org/entity/Q1874986
7472;PERSO_NAME;"Engelen, Cornelius van 1722-1793";;http://www.wikidata.org/entity/Q108409421
7473;PERSO_NAME;"Broë, Samuel 17th century";"Broë, Samuel de|De Broë, Samuel";
7474;PERSO_NAME;"Larrey, Isaac de 1638-1719";;http://www.wikidata.org/entity/Q3154791
7475;PERSO_NAME;"Bellegarde, Jean-Baptiste Morvan de 1648-1734";"Bellegarde, L'Abbé de|Bellegarde, Morvan de|Morvan de Bellegarde, Jean-Baptiste";http://www.wikidata.org/entity/Q3164305
7476;PERSO_NAME;"Banier, Antoine 1673-1741";;http://www.wikidata.org/entity/Q2853645
7478;PERSO_NAME;"Begasse, J.";;
7479;PERSO_NAME;"Hoogstraten, Samuel van 1627-1678";"Hogstrate|Hoogestrate|Hoogstraten, Samuel Dirksz van";http://www.wikidata.org/entity/Q436797
7480;PERSO_NAME;"Six, Jan";;
7481;PERSO_NAME;"Anfslo, R.";;
7483;PERSO_NAME;"Assendelft, N. van";;
7484;PERSO_NAME;"Baarle, van";;
7485;PERSO_NAME;"Balen, Matthias";;http://www.wikidata.org/entity/Q55769936
7486;PERSO_NAME;"Borremans, N.";;
7487;PERSO_NAME;"Heemskerk, W. van";;
7488;PERSO_NAME;"Duns Scotus, Johannes 1265-1308";"Doctor Subtilis|Duns Escoto, João|Duns Scot, Jean|Duns Scoti, Joannis|Duns Scotus|Duns Scotus, Blessed John|Duns Scotus, John|Duns Skotus, Johannes|Duns, Johannes|Duns, John";http://www.wikidata.org/entity/Q190089
7489;PERSO_NAME;"Le Jay, Gabriel François 1657-1734";;http://www.wikidata.org/entity/Q94915114
7490;PERSO_NAME;"Longus fl. 2nd century";;http://www.wikidata.org/entity/Q314949
7491;PERSO_NAME;"Amyot, Jacques 1513-1593";"Amiot, Iames|Amiot, James|Amyot|Amyot, James";http://www.wikidata.org/entity/Q462371
7492;PERSO_NAME;"Croix, Antoine Phérotée de la 1640-1715";"Croix, A. Phérotée de la|Phérotée de la Croix,  Antoine|Phérotée,  Antoine";http://www.wikidata.org/entity/Q19754788
7493;PERSO_NAME;"Cloeck, Johannes 1669-1714";"Kloeck, Johannes";
7494;PERSO_NAME;"Sorgen, Philippus van ?-1677";;
7495;PERSO_NAME;"Witsius, Hermann 1636-1708";"Wits, H.|Wits, Herman |Wits, Hermannus|Witsius, H.|Witsius, Hermannus ";http://www.wikidata.org/entity/Q339211
7497;PERSO_NAME;"Focquenbroch, Willem Godschalk van 1640-1670";"Godschalck van Focquenbroch, Willem|Van Focquenbroch, Willem Godschalk";http://www.wikidata.org/entity/Q729876
7498;PERSO_NAME;Baxte;;
7499;PERSO_NAME;"Zaunslifer, J. A.";;
7500;PERSO_NAME;"Simpson, Christopher 1605-1669";"Sympson, Christopher";http://www.wikidata.org/entity/Q731249
7501;PERSO_NAME;"Nanninga, Wouter Rudolf 1740-1768";;http://www.wikidata.org/entity/Q21553347
7502;PERSO_NAME;"Hinlopen, Nikolaas 1724-1787";;
7503;PERSO_NAME;"Wall, Pieter Hendrik van de 1737-1808";;
7504;PERSO_NAME;"Alewijn, Zacharias Hendrik 1663-1734";;
7505;PERSO_NAME;"Nozeman, Cornelius 1720-1786";;http://www.wikidata.org/entity/Q1883763
7506;PERSO_NAME;"Leeuwaerden, Matheus van 1707-1739";"Leeuwaerden, Mattheus van";
7507;PERSO_NAME;"Leeuwaerden, Justus van 1698-1748";;
7508;PERSO_NAME;"Asseldelft, Adrianus van 1736-1809";;
7509;PERSO_NAME;"Kops, Willem 1724-1776";;http://www.wikidata.org/entity/Q52315077
7510;PERSO_NAME;"Kruyff, Jan de 1705-1775";"Kruyff sr, Jan de";
7512;PERSO_NAME;"Swaanenburg, Willem van 1679-1728";"Van Swaanenburg, Willem";http://www.wikidata.org/entity/Q52154135
7513;PERSO_NAME;"Lucilius, Gaius 180-102 BC";Lucilius;http://www.wikidata.org/entity/Q298729
7514;PERSO_NAME;"Dousa, Franciscus Janus F.";;
